set_id,x,y,touched,touch_time,n,density,regularity,clustering,arrangement,error_rate
set_3,0.626473524207025,0.5,1,10.0,16,0.0,0.5,0.5,line,2.2142857142857144
set_3,0.6848304760146326,0.5,1,11.0,16,0.0,0.5,0.5,line,2.2142857142857144
set_3,0.7667186895218505,0.5,1,12.0,16,0.0,0.5,0.5,line,2.2142857142857144
set_3,1.0,0.5,1,13.0,16,0.0,0.5,0.5,line,2.2142857142857144
set_3,0.6536777346382852,0.5,0,,16,0.0,0.5,0.5,line,2.2142857142857144
set_3,0.24028048465601615,0.5,0,,16,0.0,0.5,0.5,line,2.2142857142857144
set_4,0.2505270827906796,1.0,1,0.0,16,0.0,0.5,0.5,grid,2.142857142857143
set_4,0.23424269232410572,0.8389160018957984,1,1.0,16,0.0,0.5,0.5,grid,2.142857142857143
set_4,0.2465062896850893,0.649439952762495,1,2.0,16,0.0,0.5,0.5,grid,2.142857142857143
set_4,0.2507635251861931,0.568599254461991,1,3.0,16,0.0,0.5,0.5,grid,2.142857142857143
set_4,0.5480493597576401,0.8492295087727287,1,4.0,16,0.0,0.5,0.5,grid,2.142857142857143
set_4,0.6094889023299668,0.7464946583573782,1,5.0,16,0.0,0.5,0.5,grid,2.142857142857143
set_4,0.7853656742286996,0.835721812107947,1,6.0,16,0.0,0.5,0.5,grid,2.142857142857143
set_4,0.9261552089707421,0.8278262640643128,1,7.0,16,0.0,0.5,0.5,grid,2.142857142857143
set_4,0.933887334254999,0.8678316066153804,1,8.0,16,0.0,0.5,0.5,grid,2.142857142857143
set_4,0.6415590779913838,0.28259984706165586,1,9.0,16,0.0,0.5,0.5,grid,2.142857142857143
set_4,0.6162673118294484,0.11164360861708046,1,10.0,16,0.0,0.5,0.5,grid,2.142857142857143
set_4,0.6395186673029405,0.0,1,11.0,16,0.0,0.5,0.5,grid,2.142857142857143
set_4,0.9699799318118585,0.15710979156795568,1,12.0,16,0.0,0.5,0.5,grid,2.142857142857143
set_4,0.0,0.1377891490468289,1,13.0,16,0.0,0.5,0.5,grid,2.142857142857143
set_4,1.0,0.7431827304783012,0,,16,0.0,0.5,0.5,grid,2.142857142857143
set_4,0.6360463438024305,0.7927687359573272,0,,16,0.0,0.5,0.5,grid,2.142857142857143
set_5,0.07425254345688331,1.0,1,0.0,16,0.0,0.5,0.5,circle,2.3076923076923075
set_5,0.0,0.6790357244492915,1,1.0,16,0.0,0.5,0.5,circle,2.3076923076923075
set_5,0.17160821090247064,0.5694746374017269,1,2.0,16,0.0,0.5,0.5,circle,2.3076923076923075
set_5,0.2864150867446097,0.5565475625506408,1,3.0,16,0.0,0.5,0.5,circle,2.3076923076923075
set_5,0.5440154635476339,0.8648409531156059,1,4.0,16,0.0,0.5,0.5,circle,2.3076923076923075
set_5,0.4997703151923043,0.9889372776965514,1,5.0,16,0.0,0.5,0.5,circle,2.3076923076923075
set_5,0.6618168357486676,0.7085626333064524,1,6.0,16,0.0,0.5,0.5,circle,2.3076923076923075
set_5,0.7014139572925598,0.5878520800126995,1,7.0,16,0.0,0.5,0.5,circle,2.3076923076923075
set_5,0.8571153639342171,0.49138533297283393,1,8.0,16,0.0,0.5,0.5,circle,2.3076923076923075
set_5,1.0,0.456113131913034,1,9.0,16,0.0,0.5,0.5,circle,2.3076923076923075
set_5,0.6673673710296705,0.06040051906641588,1,10.0,16,0.0,0.5,0.5,circle,2.3076923076923075
set_5,0.5661673779561444,0.06481256287875357,1,11.0,16,0.0,0.5,0.5,circle,2.3076923076923075
set_5,0.5185464680122669,0.08826934069070028,1,12.0,16,0.0,0.5,0.5,circle,2.3076923076923075
set_5,0.2728453454745813,0.4970478871477624,0,,16,0.0,0.5,0.5,circle,2.3076923076923075
set_5,0.4359556640329653,0.05995899124163198,0,,16,0.0,0.5,0.5,circle,2.3076923076923075
set_5,0.5336026732025747,0.0,0,,16,0.0,0.5,0.5,circle,2.3076923076923075
set_6,0.0,0.5,1,0.0,16,0.0,0.5,1.0,line,2.5833333333333335
set_6,0.0,0.5,1,1.0,16,0.0,0.5,1.0,line,2.5833333333333335
set_6,0.14427795673875107,0.5,1,2.0,16,0.0,0.5,1.0,line,2.5833333333333335
set_6,0.5013187180315842,0.5,1,3.0,16,0.0,0.5,1.0,line,2.5833333333333335
set_6,0.5013187180315842,0.5,1,4.0,16,0.0,0.5,1.0,line,2.5833333333333335
set_6,0.6488565447593664,0.5,1,5.0,16,0.0,0.5,1.0,line,2.5833333333333335
set_6,0.6869803712371612,0.5,1,6.0,16,0.0,0.5,1.0,line,2.5833333333333335
set_6,0.7218544162411349,0.5,1,7.0,16,0.0,0.5,1.0,line,2.5833333333333335
set_6,0.7590734592228539,0.5,1,8.0,16,0.0,0.5,1.0,line,2.5833333333333335
set_6,0.8243213770241739,0.5,1,9.0,16,0.0,0.5,1.0,line,2.5833333333333335
set_6,0.851589576207518,0.5,1,10.0,16,0.0,0.5,1.0,line,2.5833333333333335
set_6,1.0,0.5,1,11.0,16,0.0,0.5,1.0,line,2.5833333333333335
set_6,0.7218544162411349,0.5,0,,16,0.0,0.5,1.0,line,2.5833333333333335
set_6,0.14427795673875107,0.5,0,,16,0.0,0.5,1.0,line,2.5833333333333335
set_6,0.7218544162411349,0.5,0,,16,0.0,0.5,1.0,line,2.5833333333333335
set_6,0.8823598957457901,0.5,0,,16,0.0,0.5,1.0,line,2.5833333333333335
set_7,0.029696826318778166,1.0,1,0.0,16,0.0,0.5,1.0,grid,2.3076923076923075
set_7,0.2458257621732758,0.7978895584594775,1,1.0,16,0.0,0.5,1.0,grid,2.3076923076923075
set_7,0.34467597710988607,0.809677502455306,1,2.0,16,0.0,0.5,1.0,grid,2.3076923076923075
set_7,0.44880346615875394,0.7521961365085877,1,3.0,16,0.0,0.5,1.0,grid,2.3076923076923075
set_7,0.44880346615875394,0.7521961365085877,1,4.0,16,0.0,0.5,1.0,grid,2.3076923076923075
set_7,0.42278747078299794,0.706806442857721,1,5.0,16,0.0,0.5,1.0,grid,2.3076923076923075
set_7,0.3170883757982069,0.626483565756017,1,6.0,16,0.0,0.5,1.0,grid,2.3076923076923075
set_7,0.044853580539284885,0.6848802386544228,1,7.0,16,0.0,0.5,1.0,grid,2.3076923076923075
set_7,0.15047671026587325,0.49700902977407685,1,8.0,16,0.0,0.5,1.0,grid,2.3076923076923075
set_7,0.0,0.5571464108188764,1,9.0,16,0.0,0.5,1.0,grid,2.3076923076923075
set_7,0.04136643205917997,0.42864424712338384,1,10.0,16,0.0,0.5,1.0,grid,2.3076923076923075
set_7,0.1531111601914263,0.3212682107676031,1,11.0,16,0.0,0.5,1.0,grid,2.3076923076923075
set_7,1.0,0.0,1,12.0,16,0.0,0.5,1.0,grid,2.3076923076923075
set_7,0.48563319295617857,0.731678602672856,0,,16,0.0,0.5,1.0,grid,2.3076923076923075
set_7,0.42278747078299794,0.706806442857721,0,,16,0.0,0.5,1.0,grid,2.3076923076923075
set_7,0.2694021398490507,0.6232409606259117,0,,16,0.0,0.5,1.0,grid,2.3076923076923075
set_8,0.39198949898738294,0.4838730650833116,1,0.0,16,0.0,0.5,1.0,circle,2.6363636363636362
set_8,0.13048018831110764,0.14455049747647783,1,1.0,16,0.0,0.5,1.0,circle,2.6363636363636362
set_8,0.0,0.25386967620942463,1,2.0,16,0.0,0.5,1.0,circle,2.6363636363636362
set_8,0.8623554048228024,0.0,1,3.0,16,0.0,0.5,1.0,circle,2.6363636363636362
set_8,0.9867702306723368,0.12075180674181737,1,4.0,16,0.0,0.5,1.0,circle,2.6363636363636362
set_8,1.0,0.38322974928024245,1,5.0,16,0.0,0.5,1.0,circle,2.6363636363636362
set_8,1.0,0.38322974928024245,1,6.0,16,0.0,0.5,1.0,circle,2.6363636363636362
set_8,0.9025394118098764,0.5947936557273161,1,7.0,16,0.0,0.5,1.0,circle,2.6363636363636362
set_8,0.87245453865741,0.7369058783602719,1,8.0,16,0.0,0.5,1.0,circle,2.6363636363636362
set_8,0.9361380797979862,0.7518375453507574,1,9.0,16,0.0,0.5,1.0,circle,2.6363636363636362
set_8,0.7979670476843727,0.8581864014523422,1,10.0,16,0.0,0.5,1.0,circle,2.6363636363636362
set_8,0.9030297222108459,0.44957130368202886,0,,16,0.0,0.5,1.0,circle,2.6363636363636362
set_8,0.9361380797979862,0.7518375453507574,0,,16,0.0,0.5,1.0,circle,2.6363636363636362
set_8,0.8590890911718407,1.0,0,,16,0.0,0.5,1.0,circle,2.6363636363636362
set_8,0.0,0.25386967620942463,0,,16,0.0,0.5,1.0,circle,2.6363636363636362
set_8,0.9867702306723368,0.12075180674181737,0,,16,0.0,0.5,1.0,circle,2.6363636363636362
set_9,0.0,0.5,1,0.0,16,0.0,0.75,0.0,line,2.8181818181818183
set_9,0.15183932186672525,0.5,1,1.0,16,0.0,0.75,0.0,line,2.8181818181818183
set_9,0.19867475983075983,0.5,1,2.0,16,0.0,0.75,0.0,line,2.8181818181818183
set_9,0.34062917064098674,0.5,1,3.0,16,0.0,0.75,0.0,line,2.8181818181818183
set_9,0.4140748108739763,0.5,1,4.0,16,0.0,0.75,0.0,line,2.8181818181818183
set_9,0.5049850282653722,0.5,1,5.0,16,0.0,0.75,0.0,line,2.8181818181818183
set_9,0.6731370501786669,0.5,1,6.0,16,0.0,0.75,0.0,line,2.8181818181818183
set_9,0.7450074841111114,0.5,1,7.0,16,0.0,0.75,0.0,line,2.8181818181818183
set_9,0.8365206848872506,0.5,1,8.0,16,0.0,0.75,0.0,line,2.8181818181818183
set_9,0.9195681823212581,0.5,1,9.0,16,0.0,0.75,0.0,line,2.8181818181818183
set_9,0.9207214094451904,0.5,1,10.0,16,0.0,0.75,0.0,line,2.8181818181818183
set_9,0.20073968176591295,0.5,0,,16,0.0,0.75,0.0,line,2.8181818181818183
set_9,0.5081125282073169,0.5,0,,16,0.0,0.75,0.0,line,2.8181818181818183
set_9,0.7481372953046919,0.5,0,,16,0.0,0.75,0.0,line,2.8181818181818183
set_9,0.9544135288935558,0.5,0,,16,0.0,0.75,0.0,line,2.8181818181818183
set_9,1.0,0.5,0,,16,0.0,0.75,0.0,line,2.8181818181818183
set_10,0.04664264653557681,0.9123512710706254,1,0.0,16,0.0,0.75,0.0,grid,2.142857142857143
set_10,0.0,0.6897108395165432,1,1.0,16,0.0,0.75,0.0,grid,2.142857142857143
set_10,0.42234762318089436,0.6986590508577644,1,2.0,16,0.0,0.75,0.0,grid,2.142857142857143
set_10,0.5363025355931024,0.668103111073177,1,3.0,16,0.0,0.75,0.0,grid,2.142857142857143
set_10,0.4709419139128903,0.894046379751851,1,4.0,16,0.0,0.75,0.0,grid,2.142857142857143
set_10,0.7485505718747675,0.8401204954962033,1,5.0,16,0.0,0.75,0.0,grid,2.142857142857143
set_10,0.8409345346046281,1.0,1,6.0,16,0.0,0.75,0.0,grid,2.142857142857143
set_10,0.5875535657477837,0.47015716648961575,1,7.0,16,0.0,0.75,0.0,grid,2.142857142857143
set_10,0.4034361430842091,0.3854402430069681,1,8.0,16,0.0,0.75,0.0,grid,2.142857142857143
set_10,0.9330757289060676,0.4053406383492058,1,9.0,16,0.0,0.75,0.0,grid,2.142857142857143
set_10,0.5832152473268599,0.0665786425920883,1,10.0,16,0.0,0.75,0.0,grid,2.142857142857143
set_10,0.34117664273453085,0.022673568967277034,1,11.0,16,0.0,0.75,0.0,grid,2.142857142857143
set_10,0.16281973192394728,0.1724973391911329,1,12.0,16,0.0,0.75,0.0,grid,2.142857142857143
set_10,1.0,0.0,1,13.0,16,0.0,0.75,0.0,grid,2.142857142857143
set_10,0.46082862478107245,0.9687542303311154,0,,16,0.0,0.75,0.0,grid,2.142857142857143
set_10,0.12307876254187834,0.2972958204445378,0,,16,0.0,0.75,0.0,grid,2.142857142857143
set_11,0.10506699573097372,0.7286191769010687,1,0.0,16,0.0,0.75,0.0,circle,2.3076923076923075
set_11,0.0735988689682079,0.6325661166346431,1,1.0,16,0.0,0.75,0.0,circle,2.3076923076923075
set_11,0.34844113722602515,0.8889742613713111,1,2.0,16,0.0,0.75,0.0,circle,2.3076923076923075
set_11,0.6085164146042114,0.8166862046170014,1,3.0,16,0.0,0.75,0.0,circle,2.3076923076923075
set_11,0.5938000092742264,1.0,1,4.0,16,0.0,0.75,0.0,circle,2.3076923076923075
set_11,0.8944688956252801,0.5805563084349046,1,5.0,16,0.0,0.75,0.0,circle,2.3076923076923075
set_11,0.9489115998974924,0.6352888733273067,1,6.0,16,0.0,0.75,0.0,circle,2.3076923076923075
set_11,0.7946984096151798,0.21973315173477656,1,7.0,16,0.0,0.75,0.0,circle,2.3076923076923075
set_11,0.9230764463683573,0.07829819171159914,1,8.0,16,0.0,0.75,0.0,circle,2.3076923076923075
set_11,0.6560225880975342,0.0,1,9.0,16,0.0,0.75,0.0,circle,2.3076923076923075
set_11,0.4103675828790522,0.047742438765174325,1,10.0,16,0.0,0.75,0.0,circle,2.3076923076923075
set_11,0.38273051882405357,0.0758424362903134,1,11.0,16,0.0,0.75,0.0,circle,2.3076923076923075
set_11,0.15232004147111303,0.1910492253647123,1,12.0,16,0.0,0.75,0.0,circle,2.3076923076923075
set_11,1.0,0.7321623365798247,0,,16,0.0,0.75,0.0,circle,2.3076923076923075
set_11,0.0,0.5115293281338013,0,,16,0.0,0.75,0.0,circle,2.3076923076923075
set_11,0.09328155244133474,0.18963273481470252,0,,16,0.0,0.75,0.0,circle,2.3076923076923075
set_12,0.0,0.5,1,0.0,16,0.0,0.75,0.5,line,2.5833333333333335
set_12,0.1066649245419063,0.5,1,1.0,16,0.0,0.75,0.5,line,2.5833333333333335
set_12,0.15389336490682254,0.5,1,2.0,16,0.0,0.75,0.5,line,2.5833333333333335
set_12,0.26209049260452516,0.5,1,3.0,16,0.0,0.75,0.5,line,2.5833333333333335
set_12,0.3319681278956489,0.5,1,4.0,16,0.0,0.75,0.5,line,2.5833333333333335
set_12,0.33291906431708923,0.5,1,5.0,16,0.0,0.75,0.5,line,2.5833333333333335
set_12,0.6209242230880992,0.5,1,6.0,16,0.0,0.75,0.5,line,2.5833333333333335
set_12,0.6324563079467664,0.5,1,7.0,16,0.0,0.75,0.5,line,2.5833333333333335
set_12,0.6984207677024058,0.5,1,8.0,16,0.0,0.75,0.5,line,2.5833333333333335
set_12,0.7247914584113118,0.5,1,9.0,16,0.0,0.75,0.5,line,2.5833333333333335
set_12,0.8037693172882034,0.5,1,10.0,16,0.0,0.75,0.5,line,2.5833333333333335
set_12,0.9066327764996932,0.5,1,11.0,16,0.0,0.75,0.5,line,2.5833333333333335
set_12,0.34480141217610266,0.5,0,,16,0.0,0.75,0.5,line,2.5833333333333335
set_12,0.3693272083537523,0.5,0,,16,0.0,0.75,0.5,line,2.5833333333333335
set_12,0.8066543356626431,0.5,0,,16,0.0,0.75,0.5,line,2.5833333333333335
set_12,1.0,0.5,0,,16,0.0,0.75,0.5,line,2.5833333333333335
set_13,0.0,0.8067998164600456,1,0.0,16,0.0,0.75,0.5,grid,2.142857142857143
set_13,0.007552228491735931,0.7676355011966339,1,1.0,16,0.0,0.75,0.5,grid,2.142857142857143
set_13,0.1279202714364693,0.43235614019880275,1,2.0,16,0.0,0.75,0.5,grid,2.142857142857143
set_13,0.32908165007284856,0.4366316049995693,1,3.0,16,0.0,0.75,0.5,grid,2.142857142857143
set_13,0.506379167471952,0.5746342865754912,1,4.0,16,0.0,0.75,0.5,grid,2.142857142857143
set_13,0.6223654197392717,0.5814161091773986,1,5.0,16,0.0,0.75,0.5,grid,2.142857142857143
set_13,0.5371833357620993,0.9460383521177815,1,6.0,16,0.0,0.75,0.5,grid,2.142857142857143
set_13,0.7316715058661322,0.9891867035942031,1,7.0,16,0.0,0.75,0.5,grid,2.142857142857143
set_13,0.9245709152229686,1.0,1,8.0,16,0.0,0.75,0.5,grid,2.142857142857143
set_13,1.0,0.4691605447583348,1,9.0,16,0.0,0.75,0.5,grid,2.142857142857143
set_13,0.8983557249760273,0.3054815903227573,1,10.0,16,0.0,0.75,0.5,grid,2.142857142857143
set_13,0.9166070866127989,0.2453758043285455,1,11.0,16,0.0,0.75,0.5,grid,2.142857142857143
set_13,0.43323279693247024,0.0,1,12.0,16,0.0,0.75,0.5,grid,2.142857142857143
set_13,0.03249118636367778,0.060538045527551695,1,13.0,16,0.0,0.75,0.5,grid,2.142857142857143
set_13,0.8871617521261815,0.23977123158684033,0,,16,0.0,0.75,0.5,grid,2.142857142857143
set_13,0.9492182576919463,0.22667070098709374,0,,16,0.0,0.75,0.5,grid,2.142857142857143
set_14,0.12287471292980642,0.7933953723543448,1,0.0,16,0.0,0.75,0.5,circle,2.0
set_14,0.16583758025484513,0.7022963213249958,1,1.0,16,0.0,0.75,0.5,circle,2.0
set_14,0.08675813616375153,0.525358554769417,1,2.0,16,0.0,0.75,0.5,circle,2.0
set_14,0.0,0.4900521674543001,1,3.0,16,0.0,0.75,0.5,circle,2.0
set_14,0.19885984429617365,0.11391457159372849,1,4.0,16,0.0,0.75,0.5,circle,2.0
set_14,0.2760752491837645,0.0,1,5.0,16,0.0,0.75,0.5,circle,2.0
set_14,0.5800272272271599,0.13285647509178997,1,6.0,16,0.0,0.75,0.5,circle,2.0
set_14,0.613088723395366,0.013187596930994888,1,7.0,16,0.0,0.75,0.5,circle,2.0
set_14,0.9228995577265966,0.30139660428663323,1,8.0,16,0.0,0.75,0.5,circle,2.0
set_14,1.0,0.3746989542811339,1,9.0,16,0.0,0.75,0.5,circle,2.0
set_14,0.9876809286341686,0.6318316322332712,1,10.0,16,0.0,0.75,0.5,circle,2.0
set_14,0.9868501729626554,0.7800605633334524,1,11.0,16,0.0,0.75,0.5,circle,2.0
set_14,0.8314001972677995,0.8485750208647405,1,12.0,16,0.0,0.75,0.5,circle,2.0
set_14,0.6653664192326887,0.9837401193243559,1,13.0,16,0.0,0.75,0.5,circle,2.0
set_14,0.6364278805838555,0.9812753888722,1,14.0,16,0.0,0.75,0.5,circle,2.0
set_14,0.5006468986610272,1.0,0,,16,0.0,0.75,0.5,circle,2.0
set_15,0.0,0.5,1,0.0,16,0.0,0.75,1.0,line,2.3846153846153846
set_15,0.04942405595632987,0.5,1,1.0,16,0.0,0.75,1.0,line,2.3846153846153846
set_15,0.04942405595632987,0.5,1,2.0,16,0.0,0.75,1.0,line,2.3846153846153846
set_15,0.24821339419918043,0.5,1,3.0,16,0.0,0.75,1.0,line,2.3846153846153846
set_15,0.4212257168453652,0.5,1,4.0,16,0.0,0.75,1.0,line,2.3846153846153846
set_15,0.6069046522443794,0.5,1,5.0,16,0.0,0.75,1.0,line,2.3846153846153846
set_15,0.6951404539212966,0.5,1,6.0,16,0.0,0.75,1.0,line,2.3846153846153846
set_15,0.6951404539212966,0.5,1,7.0,16,0.0,0.75,1.0,line,2.3846153846153846
set_15,0.7441810971262045,0.5,1,8.0,16,0.0,0.75,1.0,line,2.3846153846153846
set_15,0.788279095433908,0.5,1,9.0,16,0.0,0.75,1.0,line,2.3846153846153846
set_15,0.8374525714035009,0.5,1,10.0,16,0.0,0.75,1.0,line,2.3846153846153846
set_15,0.8654045963916511,0.5,1,11.0,16,0.0,0.75,1.0,line,2.3846153846153846
set_15,1.0,0.5,1,12.0,16,0.0,0.75,1.0,line,2.3846153846153846
set_15,0.12606124032116123,0.5,0,,16,0.0,0.75,1.0,line,2.3846153846153846
set_15,0.7441810971262045,0.5,0,,16,0.0,0.75,1.0,line,2.3846153846153846
set_15,0.8374525714035009,0.5,0,,16,0.0,0.75,1.0,line,2.3846153846153846
set_16,0.0,1.0,1,0.0,16,0.0,0.75,1.0,grid,1.875
set_16,0.2325238656939687,0.9833139676412986,1,1.0,16,0.0,0.75,1.0,grid,1.875
set_16,0.1862697931229787,0.6452548126246749,1,2.0,16,0.0,0.75,1.0,grid,1.875
set_16,0.07986285182873086,0.508705752034368,1,3.0,16,0.0,0.75,1.0,grid,1.875
set_16,0.041759009997213783,0.27380088361530597,1,4.0,16,0.0,0.75,1.0,grid,1.875
set_16,0.1569312475251889,0.23866036904809437,1,5.0,16,0.0,0.75,1.0,grid,1.875
set_16,0.25176252561523604,0.27862105274998406,1,6.0,16,0.0,0.75,1.0,grid,1.875
set_16,0.10257718722491116,0.0835408915510918,1,7.0,16,0.0,0.75,1.0,grid,1.875
set_16,0.4104790455778006,0.24166880768636065,1,8.0,16,0.0,0.75,1.0,grid,1.875
set_16,0.4986544858669379,0.0,1,9.0,16,0.0,0.75,1.0,grid,1.875
set_16,0.8534662911725507,0.20112979869112185,1,10.0,16,0.0,0.75,1.0,grid,1.875
set_16,0.9131153182962857,0.3288837181788482,1,11.0,16,0.0,0.75,1.0,grid,1.875
set_16,0.8660180311485388,0.5320549503092837,1,12.0,16,0.0,0.75,1.0,grid,1.875
set_16,0.6127668498659681,0.5853450540937105,1,13.0,16,0.0,0.75,1.0,grid,1.875
set_16,1.0,0.7586362398225717,1,14.0,16,0.0,0.75,1.0,grid,1.875
set_16,0.6986307779631431,0.9697942254022806,1,15.0,16,0.0,0.75,1.0,grid,1.875
set_17,0.1688829491685685,0.9719609135251405,1,0.0,16,0.0,0.75,1.0,circle,2.142857142857143
set_17,0.16888294916856852,0.9719609135251405,1,1.0,16,0.0,0.75,1.0,circle,2.142857142857143
